uid	text	label
704330	nen á vist bolest vztek smutek zmatek osam ě lost beznad ě j a nakonec jen klid Asi takhle vypad á m ů j l	1
741616	Haan yaar nehakab karega woh postUsne na sach mein photoshoot karna chahiye phir woh post kare	1
706648	television media congress ke liye nhi h Ye toh aapko pata chal hi gya hoga Achha hoga ki Congress 	0
702512	All India me nrc lagu kare w Kashmir se dhara ko khatam kare ham Indian ko apse yahi umid 	2
700610	who Pagal hai kya They arent real issues Mandir is important Hindu khatre mei jo 	1
714356	jeet ki dher sari subh kamnaye modi ji asha karta hu jistarah desh ki janta ne khas kar Bihar ki ja	2
705840	but topi walay babu ki tau new job hougi humey chutti kesay milay 	0
732791	Ye modi media walon ko bhi maza ata hai hindu Muslim ke debate karne	1
737480	Baih tere itjey Kya jalti hai Pakistan se chutiye khelne de na unhe bc tu Indian bhi nahi	0
716395	Hehe I saw that coming And its actually from someones shaa	1
733428	Can you answer miscalculated votes on each seat One vote matters deshkama hai aur apne dh	1
719222	Allah pak os k Dil ka darwaza kbi off nai krta jo sb k lyhe ache ehsas aor Dua Dil ma rkhta ho Aa	1
708422	Bahut hi Samajhda se Cingress ne ye Faisla liya hai Aur ummeed karta hoon k Desh ke sabhi Par	1
726930	Tu Safar Mera Tu Hi Meri Manzil Tere Bina Guzara Aye DiL Hai MushkilI LOVE	2
740285	Dobar se PM bnne ki aapko dher sari shubhaka ummid hi aapke isa karykala me desh bhut si nyi uplbadhi	2
721403	We can face life together and we can spend my money on the both of us but its still MY mo	2
735826	waah kisi ne khub likha ke shama khud ko jala ke jaha ko roshan kardeta hai fir kiya tha apne aapne aap ko 	2
718017	tani Abe haattt tum flop logo ki aukaad hi Kiya h chutiya log ja aapijaan ki chaplusi kar b	0
739736	star Ohho Very beautiful eyes yarr	2
715893	EVRYONE SHIT THE FUCK	0
705433	haram khor log ulta chor kotowal ko dantey Mulk torney ki bat kerney waley ko or phulon ke har pe	0
723492	army Fin Also Stade de France is preparing for the concert Looks so beautifuSee their post on Instagr	2
713515	Jai shree ram Jarurat nahi aandolan ki Guruji Modi h to Mumkinn h Pls trust our	2
734678	Phir se lut chalu ho gaya Bjp walo tumhe kuch chut mil raha hai ya nahi Milna to chahiye q 	1
711310	Jinko khud Nahi pta ki Ramchari kya hai wo bhej rahe h BJP neta ko phle khud samjhna Chahiye	1
727883	Abe yhi hai ram rajya kya Jisme sbhi sale harami ho Jo sale itne berahm se maar rhe ho Modi dekhna be sale te	0
716679	hs Maybe Ill faing and I wont feel a th	1
726920	Duniya me dil koi kabhi na dadka hota Dadkha hai dil a yar mil ye pyar ka izhar hai Kaho na pyar hai Do premi do	1
735982	Im poor poorever happy kase God is with 	0
714603	Madam ji we always miss you as a videsh man	2
737801	sharma Saw the episode Nice one sir Maan gaye yaar sharma sir aap bahut himmat 	2
718824	Happy Birthday Doctor sahabbhagwaan aapko khush or swasth rkhe or aap hme aise hi apni creativity se hansaate r	2
721543	Teri kimat dokodi ki ho gayi amit shah will capture telegana soon kcr will res	0
719116	ek bhe poj bhai wala mahe hai sab chipka ker rakhy hai yeh bhai bahen ka pyar h	2
744557	Mamta Banerjee na Jane ho kyA Hai tumko ye desh Ram Ka Hai JaiShriR haar Ka ghum m dubi ho bus	0
702359	Still far better than MMS govt so if u r so connected with numbers and economy can u share yo	1
701445	chanda make a gentle and nice relation with someone life me kisi k sahare ki zarort parti	1
705440	chanda should i hope fr the bes	1
707229	Woo hoo Cricket World Cup starts today Good luck to hosts in the tournament hope for a good 	1
727364	Family background ka keh ni sqtai cause kaee ldkiyan fake naam sai ids banati h n pics upload krti bina ghr walu ki ijazat	1
740382	Mp sahab dr manoj rajoriya g ko Jeet ki haardik subhk	2
727897	Koi apna nahi ghum k maare murdered raped fucked shredded to bits hai 	0
735758	Back to again KARATE CHOPPED THAT COLD QUICKLY Feels good to FEEL GOOD waaa	2
738461	Sadji kisi ne bheja h apke l	1
732467	gadkari Sir badhai ho Sir Agra ke meyar ko smjhao kuch kare Modiji Raj is RAMRAJ 	2
733309	This painting has famous Indian ads hidden in it Which is tne favourite symbol of an ad you can spot Anyone	1
710989	Im so fckn pist I lost my damn YSL sha	0
718753	I give Araki a lot of credit for how kuch detail and work goes to making his characters Then again hes been at 	2
725483	modi ji ye sab to hota rahega lekin pehle Ram mandir banawao Dhara hatao Hindurastra ghosit karwao Lo	2
