uid	text	label
4330	nen á vist bolest vztek smutek ज़मातेक ोसम ě lost beznad ě ज a nakonec जेन कलिद असि तखले विपद á म ů j l	1
41616	नेहान्तिक हाँ यार नेहा 😔😔 कब करेगा वह पोस्ट 😭 उसने न सच में photoshoot करना चाहिए फिर वह पोस्ट करे	1
6648	television media congress के लिए नही ह ये तोह आपको पता चल ही गया होगा अच्छा होगा कि कांग्रेस 	0
2512	अमितशाह नरेंद्र आल इंडिया me ंर्क लागु करे w कश्मीर से dhara ko ख़तम करे हम इंडियन को आपसे यही उम्मीद	2
610	who तयपॉमेन्ट अंजनाओँ पागल है क्या They aren ’ t real issues Mandir is important Hindu खतरे में जो	1
14356	नरेंद्र जीत की ढेर सारी शुभ कामनाएं मोदी जी आशा करता हु जिस्तरह देश की जनता ने खास कर बिहार की ja	2
5840	समझोता पलीचपे but टोपी वाले बाबू की तउ new job होगी हुमेय छुट्टी कैसे मिले गई 😭	0
32791	आजतक सयैदासिम Ye मोदी media वालों को भी मज़ा आता है हिन्दू मुस्लिम के डिबेट करने 	1
37480	Baih तेरे ितजी क्या जलती है पाकिस्तान se chutiye खेलने दे न उन्हें बस तू इंडियन भी नहीं	0
16395	देसिमरत हहै I saw that coming And it ’ s actually from someone ’ स शाद	1
33428	Can you answer miscalculated votes on each seat One vote मैटर्स देशकमा है और अपने dh	1
19222	Allah pak ोस क दिल का दरवाज़ा कबि off नै करता जो sb k lyhe अचे एह्सास और दुआ दिल म रखता हो Aa	1
8422	रवीशकु बहुत ही समझदा से Cingress ने ये फैसला लिया है और उम्मीद करता हूँ क देश के सभी Par	1
26930	RT Tu सफ़र मेरा तू ही मेरी मंज़िल तेरे बिना गुज़ारा ए दिल है मुश्किल 💘🙈 ी लव ु ीामसर	2
40285	दोबार से PM बनने की आपको ढेर सारी शुभका उम्मीद ही आपके इसा कार्यकाल में देश बहुत सी नयी उपलब्धि	2
21403	सीटे वे can face life together and we can spend my money on the both of us but it ’ s still माय 	2
35826	वाह किसी ने खूब लिखा के शामा खुद को जला के जहा को रोशन करदेता है फिर किया था अपने आपने आप को 	2
18017	तानी याबिकीका अबे हाटट तुम flop लोगो की औकाद ही किया ह चुतिया लोग जा ापिजां की चापलूसी कर b	0
39736	मररजाओ star Ohho वैरी beautiful आईज यरर	2
15893	एवरयोने शिट थे फ़क	0
5433	हराम खोर लोग उल्टा चोर कोतवाल को डांटे Mulk torney की बात करने वाले को और फूलों के हर pe	0
23492	RT army फिन Also Stade de France is preparing for the concert Looks so बेऔतिफु 😍 See their post on Instagram	2
13515	आजतक जय श्री राम जरुरत नहीं आंदोलन की गुरूजी मोदी h तो मुम्किंन ह Pls trust our	2
34678	फिर से लूट चालू हो गया बीजेपी वालो तुम्हे कुछ छूट मिल रहा है या नहीं मिलना तो चाहिए क्यू 	1
11310	अमरुजल जिनको खुद नहीं पता की रामचरि क्या है वो भेज रहे ः BJP नेता को पहले खुद समझना चाहिए	1
27883	अबे यही है राम राज्य क्या जिसमे सभी सेल हरामी हो जो सेल इतने बेरहम से मार रहे हो मोदी देखना बे सेल ते	0
16679	नसफव हस मय्बे Ill faing and I wont feel a th	1
26920	दुनिया में दिल कोई कभी न दड़का होता ददखा है दिल ा यार मिल ये प्यार का इज़हार है कहो न प्यार है दो प्रेमी दो	1
35982	Im poor poorever happy कैसे गोद is with मे	0
14603	मैडम सुष्मासु जी we always miss you as a विदेश मंत	2
37801	अभिसार शर्मा Saw the episode Nice ओने सर मान गए यार अभिसार शर्मा सर आप बहुत हिम्मत	2
18824	Happy Birthday Doctor साहब 💐 भगवान् आपको खुश or swasth रखे और आप हमे ऐसे ही अपनी creativity से हंसाते रह	2
21543	तेरी कीमत डोकोडी की हो गयी अमित शाह will capture telegana soon kcr will res	0
19116	साहिबासा रुबिकली एक भे poj भाई वाला महे है सब चिपका कर रखी है यह भाई बहन का प्यार 	2
44557	ममता Banerjee न जाने हो क्या है तुमको ये देश राम का है जैश्रीर हार का घुम म डूबी हो बस	0
2359	साक्षीजो स्टिल far better than MMS govt so if ु र so connected with numbers and economy can u शेयर yo	1
